time,month,side,conf,entry,pnl,outcome,phase,hour
2025-09-21 00:30:00+05:30,2025-09,SELL,0.585,115682.5,-1013.9142954386407,SL,trend-up,0
2025-09-22 00:00:00+05:30,2025-09,SELL,0.728,115501.0,219.00008353101862,BE/TRAIL,accumulation,0
2025-09-22 03:45:00+05:30,2025-09,BUY,0.552,115280.5,120.54675715075379,BE/TRAIL,trend-down,3
2025-09-22 05:45:00+05:30,2025-09,BUY,0.529,115140.5,-766.3723867297022,SL,trend-down,5
2025-09-23 07:30:00+05:30,2025-09,BUY,0.565,112362.5,-654.9779703851095,SL,accumulation,7
2025-09-23 15:15:00+05:30,2025-09,SELL,0.656,112904.5,-687.3339933450119,SL,accumulation,15
2025-09-24 14:45:00+05:30,2025-09,SELL,0.606,112571.0,-703.0571917481277,SL,accumulation,14
2025-09-24 15:30:00+05:30,2025-09,SELL,0.517,112774.5,-708.923699112767,SL,accumulation,15
2025-09-25 00:00:00+05:30,2025-09,SELL,0.82,113616.0,987.7640273070134,TP2,trend-up,0
2025-09-25 13:45:00+05:30,2025-09,SELL,0.553,111991.0,1022.9155022370571,TP2,trend-down,13
2025-09-25 18:15:00+05:30,2025-09,BUY,0.616,111090.5,236.61971241696074,BE/TRAIL,trend-down,18
2025-09-26 00:45:00+05:30,2025-09,SELL,0.917,109790.0,332.52265746263345,BE/TRAIL,trend-down,0
2025-09-26 08:45:00+05:30,2025-09,BUY,0.674,109323.0,-625.3159900916634,SL,accumulation,8
2025-09-26 13:15:00+05:30,2025-09,BUY,0.827,109268.5,-597.4022717833742,SL,accumulation,13
2025-09-27 07:45:00+05:30,2025-09,BUY,0.65,109305.5,231.02372847794675,BE/TRAIL,accumulation,7
2025-09-27 13:30:00+05:30,2025-09,BUY,0.784,109255.5,-860.7022428194551,SL,accumulation,13
2025-09-27 14:45:00+05:30,2025-09,BUY,0.739,109049.0,911.4029442500415,TP2,trend-down,14
2025-09-28 01:15:00+05:30,2025-09,BUY,0.578,109380.5,838.7173459117447,TP2,accumulation,1
2025-09-28 04:00:00+05:30,2025-09,BUY,0.541,109560.0,-1029.597843512242,SL,accumulation,4
2025-09-28 04:30:00+05:30,2025-09,BUY,0.608,109551.0,-983.0708530242694,SL,trend-up,4
2025-09-29 00:00:00+05:30,2025-09,BUY,0.642,110148.5,981.6286189413546,TP2,trend-up,0
2025-09-29 02:15:00+05:30,2025-09,BUY,0.759,110750.5,984.0114030488037,TP2,trend-up,2
2025-09-29 04:15:00+05:30,2025-09,SELL,0.63,111892.0,-664.7482349536085,SL,trend-up,4
2025-09-30 00:00:00+05:30,2025-09,SELL,0.757,113957.0,-623.5661702827202,SL,trend-up,0
2025-09-30 01:30:00+05:30,2025-09,SELL,0.782,114322.5,-622.8302557477919,SL,trend-up,1
2025-10-01 00:00:00+05:30,2025-10,BUY,0.875,113427.0,1023.7167521819622,TP2,trend-down,0
2025-10-01 04:00:00+05:30,2025-10,BUY,0.846,113883.0,1039.322198195235,TP2,trend-up,4
2025-10-01 14:00:00+05:30,2025-10,SELL,0.625,115597.5,-644.4629510499816,SL,distribution,14
2025-10-02 00:00:00+05:30,2025-10,BUY,0.668,117041.5,1065.605313680434,TP2,trend-up,0
2025-10-02 05:00:00+05:30,2025-10,SELL,0.561,118275.0,-634.0070888006668,SL,trend-up,5
2025-10-02 08:15:00+05:30,2025-10,BUY,0.566,118708.5,-633.7137536354409,SL,trend-up,8
2025-10-03 00:30:00+05:30,2025-10,SELL,0.681,121000.0,1012.0214305876653,TP2,trend-up,0
2025-10-03 14:45:00+05:30,2025-10,SELL,0.623,120276.0,-676.7319633426464,SL,trend-down,14
2025-10-03 20:30:00+05:30,2025-10,SELL,0.633,120812.5,-626.8831656237712,SL,distribution,20
2025-10-04 08:45:00+05:30,2025-10,SELL,0.674,122031.0,-674.7128124534092,SL,distribution,8
2025-10-04 09:30:00+05:30,2025-10,SELL,0.7,122246.5,-674.4438786218504,SL,distribution,9
2025-10-05 00:00:00+05:30,2025-10,BUY,0.826,121634.5,977.2270518173582,TP2,distribution,0
2025-10-05 06:30:00+05:30,2025-10,BUY,0.626,122287.5,-799.3063148675149,SL,distribution,6
2025-10-05 07:00:00+05:30,2025-10,BUY,0.599,122361.5,939.4884595277534,TP2,distribution,7
2025-10-06 00:00:00+05:30,2025-10,BUY,0.762,122964.5,-617.2438332371516,SL,trend-down,0
2025-10-06 00:45:00+05:30,2025-10,BUY,0.764,122808.5,-615.4255618169058,SL,trend-down,0
2025-10-07 00:00:00+05:30,2025-10,SELL,0.894,125413.5,-611.2281595943697,SL,trend-up,0
2025-10-07 00:30:00+05:30,2025-10,SELL,0.823,125612.0,1016.8280035123142,TP2,trend-up,0
2025-10-07 15:30:00+05:30,2025-10,SELL,0.541,124295.5,-648.4561491497326,SL,trend-down,15
2025-10-08 12:00:00+05:30,2025-10,SELL,0.585,121549.0,-646.2135330949469,SL,trend-down,12
2025-10-08 14:45:00+05:30,2025-10,SELL,0.572,122497.5,-598.1977287732414,SL,trend-up,14
2025-10-09 00:00:00+05:30,2025-10,SELL,0.699,123517.5,1087.28278393279,TP2,trend-up,0
2025-10-09 23:00:00+05:30,2025-10,SELL,0.682,120412.5,-576.4974210891152,SL,trend-down,23
2025-10-09 23:45:00+05:30,2025-10,SELL,0.637,120648.5,-569.1930088345407,SL,trend-down,23
2025-10-10 21:00:00+05:30,2025-10,SELL,0.657,119532.5,1095.4684983185912,TP2,trend-down,21
2025-10-10 22:45:00+05:30,2025-10,SELL,0.678,118129.5,424.45014544799994,TIMEOUT,trend-down,22
2025-10-11 01:00:00+05:30,2025-10,SELL,0.798,116890.0,1281.5667471571594,BE/TRAIL,trend-down,1
2025-10-11 21:00:00+05:30,2025-10,BUY,0.659,111896.0,-587.3826191723067,SL,accumulation,21
2025-10-12 14:00:00+05:30,2025-10,BUY,0.522,111557.0,-605.8349452448157,SL,trend-up,14
2025-10-12 19:00:00+05:30,2025-10,SELL,0.53,111755.5,272.46219879425917,BE/TRAIL,trend-up,19
2025-10-12 20:30:00+05:30,2025-10,SELL,0.667,113151.5,-532.5740131718204,SL,trend-up,20
2025-10-13 00:00:00+05:30,2025-10,BUY,0.712,113565.0,571.1949781475391,BE/TRAIL,trend-up,0
2025-10-13 21:45:00+05:30,2025-10,BUY,0.566,114390.5,467.754398232,TIMEOUT,accumulation,21
2025-10-14 00:45:00+05:30,2025-10,SELL,0.778,115562.0,1024.0126525466903,TP2,trend-up,0
2025-10-14 11:45:00+05:30,2025-10,SELL,0.604,112249.5,333.7026537861613,BE/TRAIL,trend-down,11
2025-10-14 15:30:00+05:30,2025-10,BUY,0.643,110904.5,-551.6475303426791,SL,trend-down,15
2025-10-15 11:00:00+05:30,2025-10,BUY,0.602,112513.0,-585.1415449369946,SL,accumulation,11
2025-10-15 12:00:00+05:30,2025-10,BUY,0.566,112282.0,471.78673665911117,BE/TRAIL,accumulation,12
2025-10-15 15:45:00+05:30,2025-10,BUY,0.608,112370.0,-581.4879468968005,SL,accumulation,15
2025-10-16 05:30:00+05:30,2025-10,BUY,0.585,110500.0,540.6465335732676,BE/TRAIL,accumulation,5
2025-10-16 11:00:00+05:30,2025-10,BUY,0.617,111304.5,-584.256046770888,SL,accumulation,11
2025-10-16 11:30:00+05:30,2025-10,BUY,0.681,110888.0,278.2939494332452,BE/TRAIL,accumulation,11
2025-10-17 11:00:00+05:30,2025-10,BUY,0.612,108509.5,-623.1709969279354,SL,accumulation,11
2025-10-17 13:30:00+05:30,2025-10,BUY,0.635,105105.5,-532.4913273982888,SL,trend-down,13
2025-10-18 11:45:00+05:30,2025-10,BUY,0.661,106814.0,327.2625049567223,BE/TRAIL,accumulation,11
2025-10-19 00:00:00+05:30,2025-10,BUY,0.661,106809.5,327.96806607863294,BE/TRAIL,accumulation,0
2025-10-19 02:45:00+05:30,2025-10,BUY,0.638,107057.5,-679.6895853319498,SL,accumulation,2
2025-10-19 07:45:00+05:30,2025-10,BUY,0.585,106843.5,399.8477754307658,BE/TRAIL,accumulation,7
2025-10-20 14:45:00+05:30,2025-10,BUY,0.637,110771.5,373.3330008389365,BE/TRAIL,trend-up,14
2025-10-21 00:00:00+05:30,2025-10,SELL,0.85,110740.5,1045.403114684291,TP2,trend-up,0
2025-10-22 01:15:00+05:30,2025-10,SELL,0.695,111732.5,1013.079260005599,TP2,trend-up,1
2025-10-22 04:00:00+05:30,2025-10,SELL,0.74,109113.0,587.0731578452861,BE/TRAIL,trend-up,4
2025-10-23 02:30:00+05:30,2025-10,BUY,0.833,107099.5,1069.9852657452914,TP2,trend-down,2
2025-10-23 11:00:00+05:30,2025-10,BUY,0.611,108611.0,1019.1104235628671,TP2,trend-up,11
2025-10-23 14:45:00+05:30,2025-10,BUY,0.577,109388.5,-588.1420084100012,SL,trend-up,14
2025-10-24 01:30:00+05:30,2025-10,BUY,0.749,109863.5,-574.6920742617307,SL,trend-up,1
2025-10-24 02:30:00+05:30,2025-10,BUY,0.868,109676.5,1015.7812443364026,TP2,trend-up,2
2025-10-24 16:45:00+05:30,2025-10,BUY,0.578,111084.5,-637.4840502319394,SL,distribution,16
2025-10-25 02:30:00+05:30,2025-10,BUY,0.721,110602.5,1034.655040758397,TP2,distribution,2
2025-10-26 00:30:00+05:30,2025-10,SELL,0.572,111558.0,145.78601592442658,BE/TRAIL,trend-up,0
2025-10-26 04:45:00+05:30,2025-10,SELL,0.521,111593.5,-836.4561268998002,SL,distribution,4
2025-10-26 07:45:00+05:30,2025-10,SELL,0.589,111626.5,297.2586942061696,BE/TRAIL,distribution,7
2025-10-27 00:00:00+05:30,2025-10,BUY,0.774,113665.0,-662.8264002673911,SL,trend-up,0
