time,side,lots,entry,exit,pnl,tag,equity
2026-01-02T20:15:00+05:30,buy,7,89364.5,89967.710375,303,TP1,50303
2026-01-02T20:30:00+05:30,buy,7,89364.5,89364.5,-64,BE,50239
2026-01-02T21:30:00+05:30,buy,12,89724.5,89251.01519382285,-605,SL,49634
2026-01-05T00:30:00+05:30,buy,13,91360.0,90948.88,-587,SL,49048
2026-01-05T21:00:00+05:30,buy,6,93267.0,93896.55225,271,TP1,49318
2026-01-05T22:45:00+05:30,buy,7,93267.0,93267.0,-67,BE,49251
2026-01-06T23:00:00+05:30,sell,6,92814.5,92188.002125,270,TP1,49522
2026-01-06T23:15:00+05:30,sell,7,92814.5,91561.50425,697,TP2,50218
2026-01-09T22:30:00+05:30,buy,10,91732.5,91207.74195785107,-550,SL,49668
2026-01-11T18:15:00+05:30,sell,14,90521.0,90928.3445,-627,SL,49041
2026-01-14T19:45:00+05:30,buy,6,94996.5,95637.726375,276,TP1,49317
2026-01-14T20:15:00+05:30,buy,7,94996.5,96278.95275,712,TP2,50030
2026-01-15T21:15:00+05:30,sell,13,95853.5,96288.24291230332,-620,SL,49410
2026-01-16T00:45:00+05:30,sell,5,96217.0,95421.14704435425,297,TP1,49707
2026-01-16T21:00:00+05:30,sell,5,96217.0,94625.29408870851,643,TP2,50350
2026-01-19T04:45:00+05:30,sell,6,95199.0,94556.40675,277,TP1,50627
2026-01-19T05:15:00+05:30,sell,7,95199.0,93913.8135,715,TP2,51342
2026-01-19T22:15:00+05:30,sell,13,92953.0,93371.2885,-597,SL,50744
2026-01-20T04:30:00+05:30,sell,6,93069.5,92441.280875,271,TP1,51015
2026-01-20T10:30:00+05:30,sell,7,93069.5,91813.06175,699,TP2,51714
2026-01-22T00:15:00+05:30,sell,8,87570.5,88225.7344948017,-528,SL,51186
2026-01-22T23:15:00+05:30,sell,14,89064.5,89465.29025,-616,SL,50569
2026-01-23T21:15:00+05:30,sell,14,88935.5,89335.70975,-616,SL,49954
2026-01-23T22:45:00+05:30,buy,6,90242.0,90902.11893200668,289,TP1,50243
2026-01-24T00:30:00+05:30,buy,7,90242.0,90242.0,-65,BE,50178
2026-01-25T21:30:00+05:30,sell,7,88687.0,88088.36275,301,TP1,50479
2026-01-25T23:30:00+05:30,sell,7,88687.0,87489.7255,666,TP2,51145
2026-01-26T20:30:00+05:30,buy,7,88111.5,88706.252625,299,TP1,51443
2026-01-26T21:00:00+05:30,buy,7,88111.5,88111.5,-63,BE,51380
2026-01-27T20:30:00+05:30,sell,14,87645.5,88039.90475,-607,SL,50773
2026-01-27T23:00:00+05:30,sell,7,87981.0,87386.22734635591,299,TP1,51073
2026-01-28T00:15:00+05:30,sell,7,87981.0,87981.0,-63,BE,51009
2026-01-28T23:00:00+05:30,buy,14,89723.5,89319.74425,-620,SL,50389
2026-01-30T20:00:00+05:30,sell,14,82708.0,83109.3446483259,-608,SL,49781
2026-01-30T21:00:00+05:30,sell,10,82595.5,83144.41517753672,-563,SL,49218
2026-02-08T00:00:00+05:30,sell,9,68931.5,69551.0824356988,-549,SL,48669
2026-02-09T01:15:00+05:30,buy,7,70872.0,71471.07592043777,314,TP1,48983
2026-02-09T02:15:00+05:30,buy,7,70872.0,70872.0,-51,BE,48932
2026-02-10T20:30:00+05:30,sell,12,68204.0,68659.26671540682,-560,SL,48372
2026-02-11T20:30:00+05:30,sell,4,67205.5,66311.65465997631,284,TP1,48656
2026-02-11T21:30:00+05:30,sell,5,67205.5,67205.5,-34,BE,48621
2026-02-12T21:00:00+05:30,buy,12,67836.0,67369.80548653367,-570,SL,48051
2026-02-14T21:45:00+05:30,buy,18,69653.5,69340.05925,-619,SL,47432
2026-02-15T02:45:00+05:30,buy,8,69738.5,70222.05559959137,279,TP1,47711
2026-02-15T03:00:00+05:30,buy,9,69738.5,69738.5,-64,BE,47647
2026-02-16T18:30:00+05:30,buy,9,69474.0,69942.9495,303,TP1,47950
2026-02-16T18:45:00+05:30,buy,9,69474.0,69474.0,-64,BE,47885
2026-02-19T00:00:00+05:30,sell,6,67044.0,66398.9124213303,296,TP1,48181
2026-02-19T09:30:00+05:30,sell,7,67044.0,67044.0,-48,BE,48133
2026-02-19T23:45:00+05:30,sell,13,66343.5,66780.13521068808,-583,SL,47550
2026-02-20T22:15:00+05:30,sell,10,67296.0,67819.62891281336,-525,SL,47025
2026-02-20T23:15:00+05:30,sell,10,67038.0,67575.53871291978,-537,SL,46489
2026-02-22T20:00:00+05:30,sell,9,67863.0,67404.92475,296,TP1,46785
2026-02-23T06:15:00+05:30,sell,9,67863.0,66946.8495,655,TP2,47440
2026-02-28T20:45:00+05:30,sell,12,64200.0,64661.20075054856,-561,SL,46879
2026-03-01T21:30:00+05:30,buy,15,67098.0,66738.02331615651,-573,SL,46306
2026-03-02T21:00:00+05:30,buy,5,68413.0,69224.6849562039,318,TP1,46624
2026-03-02T22:15:00+05:30,buy,5,68413.0,70036.36991240781,671,TP2,47294
2026-03-03T20:00:00+05:30,sell,14,66948.0,67355.42854329284,-593,SL,46702
2026-03-07T23:30:00+05:30,sell,9,67971.0,67512.19575,297,TP1,46998
2026-03-08T01:15:00+05:30,sell,9,67971.0,67053.3915,656,TP2,47655
2026-03-10T20:15:00+05:30,buy,6,70417.0,71133.98106529342,331,TP1,47985
2026-03-10T23:30:00+05:30,buy,6,70417.0,70417.0,-43,BE,47942
2026-03-12T19:45:00+05:30,buy,15,70343.0,69979.17504643784,-583,SL,47359
2026-03-13T00:15:00+05:30,buy,12,70257.5,69796.43050599421,-568,SL,46791
2026-03-15T04:30:00+05:30,sell,18,70576.5,70894.09425,-628,SL,46163
2026-03-16T03:00:00+05:30,buy,8,71594.5,72077.762875,277,TP1,46441
2026-03-16T04:15:00+05:30,buy,9,71594.5,72561.02575,690,TP2,47131
2026-03-16T21:15:00+05:30,buy,12,73807.5,73335.3651058937,-584,SL,46547
2026-03-17T00:00:00+05:30,buy,6,73640.0,74331.77747282038,316,TP1,46863
2026-03-17T05:30:00+05:30,buy,6,73640.0,75023.55494564078,676,TP2,47539
2026-03-17T21:45:00+05:30,sell,13,73867.5,74291.88990696573,-579,SL,46960
2026-03-21T21:45:00+05:30,buy,18,70703.5,70385.33425,-629,SL,46332
2026-03-23T01:00:00+05:30,sell,9,68680.0,68216.41,300,TP1,46632
2026-03-23T02:30:00+05:30,sell,9,68680.0,67752.82,663,TP2,47294
2026-03-25T22:30:00+05:30,buy,13,71481.0,71067.69960996024,-563,SL,46732
2026-03-28T19:00:00+05:30,buy,9,66409.5,66857.764125,289,TP1,47021
2026-03-29T04:30:00+05:30,buy,10,66409.5,66409.5,-68,BE,46953
2026-03-30T20:45:00+05:30,buy,17,67769.0,67431.86755400267,-617,SL,46337
2026-03-30T21:30:00+05:30,buy,16,67731.5,67381.48052207482,-598,SL,45738
2026-03-31T20:30:00+05:30,sell,13,66562.0,66990.56601355654,-574,SL,45165
2026-03-31T21:45:00+05:30,sell,12,66706.0,67155.01701016998,-551,SL,44613
2026-04-01T22:30:00+05:30,buy,8,68492.0,68988.68044749489,289,TP1,44903
2026-04-01T22:45:00+05:30,buy,9,68492.0,68492.0,-63,BE,44839
2026-04-04T20:30:00+05:30,buy,9,66885.5,67336.977125,291,TP1,45131
2026-04-05T11:15:00+05:30,buy,10,66885.5,66885.5,-69,BE,45062
2026-04-05T20:45:00+05:30,sell,19,66888.5,67189.49825,-628,SL,44434
2026-04-07T03:30:00+05:30,buy,17,69717.5,69384.87005277774,-613,SL,43820
2026-04-08T18:30:00+05:30,buy,8,71813.5,72298.241125,278,TP1,44099
2026-04-08T18:45:00+05:30,buy,9,71813.5,72782.98225,692,TP2,44791
2026-04-09T00:15:00+05:30,buy,16,71567.5,71215.4377615374,-607,SL,44184
2026-04-10T02:30:00+05:30,buy,8,72052.0,72586.76898470944,313,TP1,44496
2026-04-10T03:45:00+05:30,buy,8,72052.0,73121.53796941887,685,TP2,45181
2026-04-13T18:15:00+05:30,sell,18,70808.0,71126.636,-630,SL,44551
2026-04-14T19:00:00+05:30,buy,8,74424.5,74926.865375,288,TP1,44839
2026-04-14T19:15:00+05:30,buy,9,74424.5,75429.23075,717,TP2,45557
2026-04-14T20:15:00+05:30,buy,16,75523.5,75183.64425,-597,SL,44960
2026-04-15T19:45:00+05:30,sell,17,73836.0,74168.262,-621,SL,44339
2026-04-15T20:30:00+05:30,sell,17,73934.0,74266.703,-621,SL,43718
2026-04-16T19:15:00+05:30,sell,8,74577.5,74074.101875,289,TP1,44007
2026-04-16T19:15:00+05:30,sell,9,74577.5,73570.70375,720,TP2,44727
2026-04-17T00:15:00+05:30,sell,13,74296.0,74708.44019492506,-566,SL,44161
2026-04-21T20:15:00+05:30,buy,15,76424.5,76060.46376960528,-592,SL,43569
2026-04-23T19:45:00+05:30,sell,16,77547.0,77895.9615,-613,SL,42956
2026-04-23T23:15:00+05:30,sell,15,77141.0,77523.16991638359,-618,SL,42338
2026-04-24T20:30:00+05:30,buy,16,77991.0,77640.0405,-616,SL,41721
2026-04-24T22:00:00+05:30,buy,16,77944.0,77593.252,-616,SL,41105
2026-04-25T21:30:00+05:30,buy,16,77603.5,77254.28425,-613,SL,40492
2026-04-27T03:15:00+05:30,buy,8,77950.5,78476.665875,302,TP1,40794
2026-04-27T04:00:00+05:30,buy,8,77950.5,77950.5,-64,BE,40730
2026-04-27T20:45:00+05:30,sell,8,77774.5,77249.522125,302,TP1,41032
2026-04-27T20:45:00+05:30,sell,8,77774.5,76724.54425,667,TP2,41699
2026-04-28T04:45:00+05:30,sell,16,76760.5,77105.92225,-607,SL,41092
2026-05-03T03:00:00+05:30,buy,8,78208.0,78735.904,303,TP1,41395
2026-05-03T06:45:00+05:30,buy,8,78208.0,78208.0,-64,BE,41331
2026-05-06T04:00:00+05:30,buy,15,81278.5,80912.74675,-602,SL,40728
2026-05-09T08:00:00+05:30,buy,7,79896.5,80435.801375,271,TP1,40999
2026-05-09T23:45:00+05:30,buy,8,79896.5,80975.10275,685,TP2,41684
2026-05-11T22:00:00+05:30,buy,7,81303.5,81852.298625,276,TP1,41960
2026-05-12T06:45:00+05:30,buy,8,81303.5,81303.5,-67,BE,41893
2026-05-14T19:30:00+05:30,buy,15,79909.0,79549.4095,-592,SL,41301
2026-05-17T15:30:00+05:30,sell,16,78108.0,78459.486,-618,SL,40683
2026-05-18T20:00:00+05:30,sell,8,76785.5,76267.197875,298,TP1,40981
2026-05-19T00:30:00+05:30,sell,8,76785.5,76785.5,-63,BE,40918
2026-05-20T21:45:00+05:30,buy,16,77384.5,77036.26975,-612,SL,40306
2026-05-21T06:15:00+05:30,buy,8,77357.5,77879.663125,300,TP1,40606
2026-05-21T15:45:00+05:30,buy,8,77357.5,77357.5,-64,BE,40542
2026-05-22T19:45:00+05:30,sell,8,77275.5,76753.890375,300,TP1,40842
2026-05-23T00:15:00+05:30,sell,8,77275.5,76232.28075,663,TP2,41505
2026-05-26T19:45:00+05:30,buy,8,77199.5,77720.596625,299,TP1,41804
2026-05-26T20:00:00+05:30,buy,8,77199.5,77199.5,-63,BE,41741
2026-05-26T23:00:00+05:30,sell,6,76501.0,75875.51075078522,280,TP1,42020
2026-05-27T18:45:00+05:30,sell,7,76501.0,75250.02150157046,707,TP2,42728
2026-06-03T20:30:00+05:30,sell,9,66953.0,66501.06725,292,TP1,43020
2026-06-03T21:15:00+05:30,sell,10,66953.0,66049.1345,718,TP2,43738
2026-06-05T07:45:00+05:30,sell,5,63626.5,62814.652718203266,321,TP1,44059
2026-06-05T10:15:00+05:30,sell,5,63626.5,63626.5,-33,BE,44026
2026-06-07T20:15:00+05:30,buy,18,62064.5,61754.628306479404,-600,SL,43426
2026-06-08T00:30:00+05:30,buy,18,62080.0,61766.68797738055,-605,SL,42821
2026-06-09T01:30:00+05:30,buy,14,63615.5,63206.0284380938,-590,SL,42231
